ip_address,bytes_sent,bytes_received,connections,anomaly
172.16.208.193,46,0,1,1
172.16.208.193,46,0,1,1
172.16.208.193,46,0,1,1
172.16.208.193,46,0,1,1
172.16.208.193,46,0,1,1
172.16.208.193,46,0,1,1
172.16.208.193,46,0,1,1
172.16.208.193,46,0,1,1
172.16.208.193,46,0,1,1
172.16.208.193,46,0,1,1
172.16.208.193,46,0,1,1
172.16.208.193,46,0,1,1
172.16.208.193,46,0,1,1
172.16.236.246,405,0,1,1
172.16.236.246,405,0,1,1
172.16.236.246,405,0,1,1
20.42.73.25,54,0,1,1
172.16.236.170,82,0,1,1
172.16.236.170,82,0,1,1
172.16.236.170,82,0,1,1
172.16.208.193,46,0,1,1
172.16.208.193,46,0,1,1
172.16.208.193,46,0,1,1
172.16.208.193,46,0,1,1
172.16.208.193,46,0,1,1
172.16.208.193,46,0,1,1
172.16.236.168,387,0,1,1
172.16.236.168,296,0,1,1
13.68.233.9,1514,0,1,1
13.68.233.9,1514,0,1,1
172.16.236.168,54,0,1,1
13.68.233.9,1514,0,1,1
13.68.233.9,1514,0,1,1
13.68.233.9,1514,0,1,1
172.16.236.168,54,0,1,1
13.68.233.9,517,0,1,1
172.16.236.168,54,0,1,1
23.223.154.107,54,0,1,1
23.223.154.107,54,0,1,1
23.223.154.107,711,0,1,-1
172.16.236.168,1494,0,1,1
172.16.236.168,240,0,1,1
199.232.210.172,1466,0,1,1
199.232.210.172,1162,0,1,-1
199.232.210.172,1466,0,1,1
172.16.236.168,66,0,1,1
172.16.236.168,66,0,1,1
199.232.210.172,138,0,1,1
199.232.210.172,1466,0,1,1
199.232.210.172,1466,0,1,1
172.16.236.168,66,0,1,1
199.232.210.172,1466,0,1,1
199.232.210.172,1466,0,1,1
172.16.236.168,66,0,1,1
199.232.210.172,1466,0,1,1
199.232.210.172,1466,0,1,1
199.232.214.172,1504,0,1,1
172.16.236.168,66,0,1,1
199.232.214.172,1504,0,1,1
172.16.236.168,66,0,1,1
199.232.210.172,1466,0,1,1
199.232.210.172,1202,0,1,-1
172.16.236.168,66,0,1,1
199.232.210.172,1466,0,1,1
199.232.210.172,1466,0,1,1
172.16.236.168,66,0,1,1
172.16.229.203,123,0,1,1
172.16.229.203,123,0,1,1
172.16.229.203,123,0,1,1
172.16.229.203,120,0,1,1
172.16.229.203,120,0,1,1
172.16.229.203,96,0,1,1
172.16.229.203,96,0,1,1
172.16.229.203,96,0,1,1
172.16.229.203,95,0,1,1
172.16.229.203,95,0,1,1
172.16.229.203,95,0,1,1
